ㅊㅐㅅㅣㄱ,["고기를 먹지 않고 주로 채소, 과일, 해초 등의 식물성 음식만 먹음."]
ㅅㅐㅇㅅㅜ,[끓이거나 소독하지 않은 자연 상태의 맑은 물.]
ㅅㅣㄱㅅㅜ,[먹을 물. 또는 먹을 수 있는 물.]
ㄷㅐㅈㅓㅂ,[국이나 물 등을 담는 데 쓰는 넓적한 그릇., 국이나 물 등을 넓적한 그릇에 담아 그 양을 세는 단위.]
ㅂㅣㅇㅅㅜ,["얼음을 잘게 갈고 그 위에 삶은 팥, 과일 등을 올린 음식."]
ㅅㅗㅅㅣㄱ,[음식을 적게 먹음.]
ㅂㅜㄴㅇㅠ,[우유의 물기를 없애고 만든 가루.]
ㅎㅏㄴㅇㅜ,[누런 갈색의 우리나라 토종 소.]
ㅇㅠㄱㄹㅠ,["사람이 먹을 수 있는 소, 돼지, 닭 등의 고기 종류."]
ㅊㅜㅣㅅㅏ,[불을 사용하여 음식을 만드는 일.]
ㅂㅗㅇㅑㄱ,[몸의 기운을 높여 주고 건강하도록 도와주는 약.]
ㅁㅣㅇㅕㄱ,["얕은 바닷물 속에서 자라는, 주로 말려서 저장하였다가 국을 끓여 먹는 검푸른 풀."]
ㅈㅣㄴㅈㅣ,[(높임말로) 밥.]
ㅇㅗㄴㅅㅜ,[따뜻한 물.]
ㅈㅔㄱㅗㅏ,[과자나 빵 등을 만듦.]
ㅈㅜㅅㅣㄱ,[밥이나 빵과 같이 끼니에 주가 되는 음식.]
ㅊㅏㅁㅊㅣ,["몸은 3미터 정도이고 등이 푸르며 살이 검붉은, 주로 회나 통조림으로 먹는 바닷물고기."]
ㅅㅜㄴㄷㅐ,["당면, 두부, 찹쌀 등을 양념하여 돼지의 창자 속에 넣고 찐 음식.", "오징어, 명태, 가지 같은 것에 양념한 재료를 넣고 찐 음식."]
ㅇㅛㅇㄱㅣ,[물건을 담는 그릇.]
